"DU_ID","WBA_ID","hydrologic_region","Dups","Class","CS3_Type","total_acres","polygon_count","source","model_source","agency","provider","gw","sw","point_of_diversion","diversion_arc","river_reach","river_mile_start","river_mile_end","bank","area_acres","annual_diversion_taf","demand_unit","table_id","has_gis_data"
"72_NA1","72","SJR","-1","Agriculture","","3092.54623176","1","geopackage,calsim_report","calsim3","Non-district San Joaquin River riparian diverters (Mud Slough to Orestimba Creek)","","1","1","San Joaquin River","","","","","","","","72_NA1","","True"
"72_NA2","72","SJR","-1","Agriculture","","54586.4897849445","300","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","72_NA2","","True"
"72_PA","72","SJR","-1","Agriculture","PA","461.411377999","1","geopackage,calsim_report","calsim3","Laguna WD","CVP","1","1","Central California ID Main Canal","","","","","","","","72_PA","","True"
"72_XA1","72","SJR","-1","Agriculture","XA","47075.906670829994","2","geopackage,calsim_report","calsim3","San Luis Canal Company","CVP","1","1","Delta-Mendota Canal, San Joaquin River at Sack Dam","","","","","","","","72_XA1","","True"
"72_XA2","72","SJR","-1","Agriculture","XA","70548.23715630354","16","geopackage,calsim_report","calsim3","Central California ID south","CVP","1","1","Delta-Mendota Canal and Mendota Pool","","","","","","","","72_XA2","","True"
"72_XA3","72","SJR","-1","Agriculture","XA","78563.56583205095","26","geopackage,calsim_report","calsim3","Central California ID north","CVP","1","1","Delta-Mendota Canal","","","","","","","","72_XA3","","True"
"73_NA","73","SJR","-1","Agriculture","","22443.212159381033","119","geopackage,calsim_report","calsim3","Non-district","","1","0","","","","","","","","","73_NA","","True"
"73_PA1","73","SJR","-1","Agriculture","PA","31908.460914739","3","geopackage,calsim_report","calsim3","San Luis WD north","CVP","1","1","California Aqueduct, Delta-Mendota Canal","","","","","","","","73_PA1","","True"
"73_PA2","73","SJR","-1","Agriculture","PA","16631.065618568","7","geopackage,calsim_report","calsim3","Eagle Field WD, Mercy Springs WD, Oro Loma WD","CVP","1","1","Delta-Mendota Canal","","","","","","","","73_PA2","","True"
"73_PA3","73","SJR","-1","Agriculture","PA","78736.14426414","4","geopackage,calsim_report","calsim3","Pacheco WD","CVP","1","1","Delta-Mendota Canal Panoche WD CVP • • California Aqueduct, Delta-Mendota Canal San Luis WD south CVP • • California Aqueduct","","","","","","","","73_PA3","","True"
"73_XA","73","SJR","-1","Agriculture","XA","23731.003294912003","3","geopackage,calsim_report","calsim3","Firebaugh Canal WD","CVP","1","1","Delta-Mendota Canal, Mendota Pool","","","","","","","","73_XA","","True"
"90_PA1","90","TULARE","-1","Agriculture","PA","376736.323831","1","geopackage,calsim_report","calsim3","Westlands WD Priority Area I, DD No. 2","CVP","1","1","California Aqueduct","","","","","","","","90_PA1","","True"
"90_PA2","90","TULARE","-1","Agriculture","PA","228094.0482171247","29","geopackage,calsim_report","calsim3","Westlands WD Priority Area II, DD No. 1, No. 3","CVP","1","1","California Aqueduct, Coalinga Canal","","","","","","","","90_PA2","","True"
"91_PA","","SJR","","Agriculture","","","0","calsim_report","calsim3","Coelho Family Trust, Fresno Slough WD, James ID, RD 1606, Tranquility ID, Tranquility PUD","CVP","1","1","Mendota Pool","","","","","","","","91_PA","","False"
