id,calsim_id,name,description,inflow_entity_id,variable_type,unit_id,temporal_scale_id,variable_version_id,outcome_category_short_code,variable_id,created_by,updated_by
206,I_TUO054,Tuolumne River below New Don Pedro Dam,Tuolumne River below New Don Pedro Dam,206,inflow_rate,2,3,1,hydroclimate,,1,
207,I_TUO105,Tuo105,Inflow variable I_TUO105,207,inflow_rate,2,3,1,hydroclimate,,1,
208,I_UBEAR,Upper Bear Reservoir inflow,Upper Bear Reservoir inflow,208,inflow_rate,2,3,1,hydroclimate,,1,
209,I_UNVLY,Union Valley Reservoir inflow,Union Valley Reservoir inflow,209,inflow_rate,2,3,1,hydroclimate,,1,
210,I_WBF006,West Branch Feather River accretions: Miocene Diversion Dam to Yankee Hill,West Branch Feather River accretions: Miocene Diversion Dam to Yankee Hill,210,inflow_rate,2,3,1,hydroclimate,,1,
211,I_WBF015,West Branch Feather River accretions: Hendricks to Miocene Diversion Dam,West Branch Feather River accretions: Hendricks to Miocene Diversion Dam,211,inflow_rate,2,3,1,hydroclimate,,1,
212,I_WBF030,West Branch Feather River accretion: Round Valley to Hendricks Diversion Dam,West Branch Feather River accretion: Round Valley to Hendricks Diversion Dam,212,inflow_rate,2,3,1,hydroclimate,,1,
213,I_WBR001,Weber Creek near Salmon Falls,Weber Creek near Salmon Falls,213,inflow_rate,2,3,1,hydroclimate,,1,
214,I_WKYTN,Whiskeytown Lake inflow,Whiskeytown Lake inflow,214,inflow_rate,2,3,1,hydroclimate,,1,
215,I_WLF013,Wolf Creek at Tarr Ditch Diversion Dam,Wolf Creek at Tarr Ditch Diversion Dam,215,inflow_rate,2,3,1,hydroclimate,,1,
